H 1 1215.67A # LyA
H 1 6564.62A # Ha
H 1 4862.69A # Hb
H 1 4341.68A # Hg
H 1 4102.89A # Hd
H 1 3971.19A
H 1 3890.15A
H 1 3836.47A
H 1 1.87561m # Pa
H 1 1.28215m # Pb
H 1 1.09410m # Pg
H 1 1.00521m # Pd
H 1 9548.54A
H 1 9231.50A
H 1 4.05224m # Bra
H 1 2.62585m # Brb
H 1 2.16611m # Brg
H 1 1.94507m # Brd
H 1 1.81790m
Ar 3 7135.79A
Ar 3 7751.11A
C 2 1037.02A
C 2 2325.40A
C 2 2326.93A
C 3 1908.73A
C 3 1906.68A
Fe 2 2382.04A
Fe 2 2625.67A
Fe 3 4881.12A
Fe 3 4658.01A
Fe 3 5270.40A
Fe 3 4701.62A
Ne 3 3868.76A
Ne 3 3967.47A
O 1 6300.30A
O 2 2470.34A
O 2 3728.81A
O 2 3726.03A
O 3 4958.91A
O 3 5006.84A
O 3 4363.21A
O 3 1666.15A
S 2 6730.82A
S 2 6716.44A
S 3 9068.62A
S 3 9530.62A
S 3 6312.06A
Si 2 1265.00A
Si 2 1197.39A
Si 2 1194.50A
Si 3 1892.03A
Si 3 1882.71A
Si 3 1206.50A
Al 2 2660.35A
Ca 2 7291.47A
Cl 3 5517.71A
Fe 4 3094.96A
Fe 4 2835.74A
Fe 4 2829.36A
Fe 4 2567.61A
Mg 2 2802.71A
Mg 2 2795.53A
N 2 6548.05A
N 2 6583.45A
N 3 991.511A
Si 2 1179.59A
